feature_file,feature_tokens,variant_backend,baseline_kind,baseline_backend,baseline_total_tps,variant_total_tps,improve_pct,baseline_prefill_s,variant_prefill_s,baseline_decode_s,variant_decode_s,baseline_total_s,variant_total_s
aflush,aflush,roseinfer+aflush,vs_inproc,roseinfer+inproc,65314.130406732846,64334.98674834884,-1.4991299008140357,,,,,0.6271231010032352,0.6366675749886781
aflush,aflush,roseinfer+aflush,vs_base,roseinfer,64362.43846727137,64334.98674834884,-0.04265176953556409,,,,,0.6363960250018863,0.6366675749886781
bffwd,bffwd,roseinfer+bffwd,vs_inproc,roseinfer+inproc,65314.130406732846,64646.61687688576,-1.0220047724592765,,,,,0.6271231010032352,0.6335985079931561
bffwd,bffwd,roseinfer+bffwd,vs_base,roseinfer,64362.43846727137,64646.61687688576,0.4415283453856327,,,,,0.6363960250018863,0.6335985079931561
chunkbkt,chunkbkt,roseinfer+chunkbkt,vs_inproc,roseinfer+inproc,65314.130406732846,64822.69849253221,-0.7524128563609819,,,,,0.6271231010032352,0.6318774280080106
chunkbkt,chunkbkt,roseinfer+chunkbkt,vs_base,roseinfer,64362.43846727137,64822.69849253221,0.7151065687091449,,,,,0.6363960250018863,0.6318774280080106
fanopast,fanopast,roseinfer+pmeta+fanopast,vs_inproc,roseinfer+inproc,65314.130406732846,67445.26294644029,3.2628965989995846,,,,,0.6271231010032352,0.6073072920262348
fanopast,fanopast,roseinfer+pmeta+fanopast,vs_base,roseinfer,64362.43846727137,67445.26294644029,4.789788194144549,,,,,0.6363960250018863,0.6073072920262348
fbsync,fbsync,roseinfer+fbsync,vs_inproc,roseinfer+inproc,65314.130406732846,63931.33175865506,-2.1171508209121606,,,,,0.6271231010032352,0.6406874199747108
fbsync,fbsync,roseinfer+fbsync,vs_base,roseinfer,64521.51601726372,63931.33175865506,-0.9147092242078502,,,,,0.6348269930458628,0.6406874199747108
idleka,idleka,roseinfer+idleka,vs_inproc,roseinfer+inproc,65314.130406732846,64489.86268315587,-1.2620052023107156,,,,,0.6271231010032352,0.6351385829620995
idleka,idleka,roseinfer+idleka,vs_base,roseinfer,64362.43846727137,64489.86268315587,0.19797916132294574,,,,,0.6363960250018863,0.6351385829620995
lastlogits,lastlogits,roseinfer+lastlogits,vs_inproc,roseinfer+inproc,65314.130406732846,72191.59418166456,10.529825218683095,,,,,0.6271231010032352,0.567379075975623
lastlogits,lastlogits,roseinfer+lastlogits,vs_base,roseinfer,64362.43846727137,72191.59418166456,12.164168886134355,,,,,0.6363960250018863,0.567379075975623
nopad,nopad,roseinfer+nopad,vs_inproc,roseinfer+inproc,65314.130406732846,67269.86030610239,2.994344236370541,,,,,0.6271231010032352,0.6088908140081912
nopad,nopad,roseinfer+nopad,vs_base,roseinfer,64362.43846727137,67269.86030610239,4.517264895595056,,,,,0.6363960250018863,0.6088908140081912
opool,opool,roseinfer+opool,vs_inproc,roseinfer+inproc,65314.130406732846,64254.109439897045,-1.6229580953381704,,,,,0.6271231010032352,0.637468955013901
opool,opool,roseinfer+opool,vs_base,roseinfer,64362.43846727137,64254.109439897045,-0.1683109433919472,,,,,0.6363960250018863,0.637468955013901
pbuild,pbuild,roseinfer+wupcg16+pbuild,vs_inproc,roseinfer+inproc,65314.130406732846,64577.501663883544,-1.1278244665619352,,,,,0.6271231010032352,0.6342766279994976
pbuild,pbuild,roseinfer+wupcg16+pbuild,vs_base,roseinfer+wupcg16,64789.60601160074,64577.501663883544,-0.32737403539577165,,,,,0.6322001710068434,0.6342766279994976
pbuild2,pbuild,roseinfer+pbuild+idleka,vs_inproc,roseinfer+inproc,65314.130406732846,64238.97994376085,-1.646122295859522,,,,,0.6271231010032352,0.6376190910232253
pbuild2,pbuild,roseinfer+pbuild+idleka,vs_base,roseinfer+idleka,64489.86268315587,64238.97994376085,-0.389026629855963,,,,,0.6351385829620995,0.6376190910232253
