feature_file,feature_tokens,scale,metric,pct,base_backend,variant_backend,base,variant,improve_pct
admit64,admit64,0.4,ttft_ms,p50,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,8.001581489224918,7.727639502263628,3.4235980390899687
admit64,admit64,0.4,ttft_ms,p90,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,10.72062729508616,10.31137149548158,3.817461313967735
admit64,admit64,0.4,ttft_ms,p99,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,13.403965632023743,14.340510715555856,-6.987074640765943
admit64,admit64,0.4,itl_ms,p50,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,1.2767535081366077,1.2747379951179028,0.15786234428652918
admit64,admit64,0.4,itl_ms,p90,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,1.5208356111543253,1.5122024982701987,0.567655887382464
admit64,admit64,0.4,itl_ms,p99,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,2.5322177947964506,2.552429412025957,-0.7981784691285237
admit64,admit64,0.4,tpot_ms,p50,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,1.3360305393424516,1.3326237519687834,0.2549932260788731
admit64,admit64,0.4,tpot_ms,p90,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,1.4339606955872986,1.4392840276208114,-0.3712327715741629
admit64,admit64,0.4,tpot_ms,p99,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,1.5736880561558704,1.6037926591513862,-1.9129968533315267
admit64,admit64,0.4,e2e_ms,p50,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,172.872560491669,172.07598901586607,0.4607853748086926
admit64,admit64,0.4,e2e_ms,p90,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,186.39619391178712,186.5551170980325,-0.08526096102615996
admit64,admit64,0.4,e2e_ms,p99,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+admit64+wupcg16+pmeta+fastplan,206.47802787745604,205.4509123670868,0.4974454284205153
aflush,aflush,0.4,ttft_ms,p50,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan+aflush,8.001581489224918,7.397920999210328,7.544264728510121
aflush,aflush,0.4,ttft_ms,p90,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan+aflush,10.72062729508616,10.204927119775675,4.810354479414261
